Jahr,Konsumausgaben,BIP
1992,1601342020000,2077722320000
1993,1611040070000,2057855860000
1994,1647698700000,2108425030000
1995,1681059990000,2145061880000
1996,1706080960000,2162606290000
1997,1719658230000,2202597220000
1998,1744873160000,2246200240000
1999,1783277430000,2290835270000
2000,1817802490000,2358690850000
2001,1842047620000,2398681780000
2002,1836810670000,2398681780000
2003,1840883850000,2381653390000
2004,1847672490000,2409518030000
2005,1855818850000,2426546430000
2006,1881033780000,2516332520000
2007,1887628450000,2598378430000
2008,1911679620000,2626501080000
2009,1927972340000,2478921650000
2010,1939610000000,2580060000000
2011,1963661160000,2674490200000
2012,1988682130000,2687648500000
2013,2004586940000,2700806810000
2014,2028056220000,2759632180000
2015,2068788030000,2807621290000
2016,2121739380000,2870574760000
2017,2158010090000,2932496200000
2018,2181285410000,2974293170000
